doc_id,permit_num,already_downloaded,name,source,reasons
1462752,14-27328-NEWC,False,charbonnets place 7211 regent street.pdf,agent_triage_consensus_queue.csv,Named project PDF is likely the tenant build-out drawing package for the pharmacy. || Project-named PDF is the strongest available candidate for tenant build-out drawings.
3911288,19-09618-RNVS,False,Construction Drawings.pdf,agent_triage_consensus_queue.csv,Construction drawings should contain architectural floor plans and finish/ceiling information for the Burger Bar buildout. || Construction drawings should contain architectural floor plans and finish information for the Burger Bar renovation.
4079564,19-17650-RNVS,False,3034 a2 sp.pdf,agent_triage_consensus_queue.csv,A2 stamped-plan PDF likely contains additional architectural plan/elevation/finish information. || A2 sealed-plan PDF is likely an architectural continuation/detail sheet for the tenant finish.
4079565,19-17650-RNVS,False,3034 a1 sp.pdf,agent_triage_consensus_queue.csv,A1 stamped-plan PDF is likely an architectural floor-plan sheet for the tenant finish. || A1 sealed-plan PDF is likely an architectural floor-plan sheet for the tenant finish.
5021275,21-10517-RNVS,False,204 S Saratoga - RCC Stamped.pdf,agent_triage_consensus_queue.csv,"RCC-stamped PDF is the best candidate for architectural floor plans and finish/ceiling sheets. || Vague title, but RCC stamped PDF is the only likely approved architectural/interior plan set for this finish-heavy renovation."
6440202,23-12861-NEWC,False,2023.10.17_202822_1723HenrietteDelille_DD5-compressed.pdf,agent_triage_consensus_queue.csv,Compressed DD package is the only PDF and is likely to contain architectural floor plans and finish context for the hotel. || Compressed design-development drawing set is the only PDF and should include floor plans for the hotel scope.
6855543,23-35090-RNVN,False,2801 Magazine 23-35090 SP RCC.pdf,agent_triage_consensus_queue.csv,"RCC-stamped PDF is likely the submitted/stamped plan set for the tenant finish-out. || Vague SP/RCC filename, but it is the only likely stamped plan-set PDF for a finish-out scope."
8260959,25-09195-RNVN,False,"2025.06.13 - 621 St Louis VCC approved rooftop lights, finishes.pdf",agent_triage_consensus_queue.csv,"Filename explicitly mentions rooftop lights and finishes, making it a finish-specific supplement worth rendering. || VCC approved rooftop lights/finishes PDF is finish-specific and likely useful after the architectural set."
9090685,26-11301-RNVS,False,04.02.26_Sexy Eleven_ FLOORS PLAN.pdf,agent_triage_consensus_queue.csv,Undownloaded FLOORS PLAN PDF is directly relevant and may be revised or more complete than the already-downloaded floor plan. || Explicit floors-plan PDF is likely a flooring/finish or floor-plan supplement for the restaurant/bar build-out.
1629208,14-18929-NEWC,False,complete revised set 864 S. Peters.pdf,consensus_download_queue.csv,a: Complete revised set is likely a full plan package with architectural floor plans. || b: Complete revised set is a likely updated full drawing package with architectural floor-plan sheets.
4941409,20-29653-RNVS,False,Finish schedule.pdf,consensus_download_queue.csv,a: Finish schedule is directly relevant to finish-plan labeling. || b: Finish schedule is directly relevant to finish-plan labeling.
7352761,24-19187-RNVN,False,24-03_CD_ARCH_6-21-24.pdf,consensus_download_queue.csv,a: CD_ARCH file is the architectural construction document set likely containing floor and finish plans. || b: CD_ARCH package is the clear architectural drawing set for the Burlington interior renovation.
7671011,24-22310-RNVN,False,HDLC Approved Conformed_7457 St Charles_3E sealed for permit review.pdf,consensus_download_queue.csv,a: HDLC approved conformed sealed permit review package is the strongest likely architectural/interior plan set. || b: HDLC-approved conformed sealed permit-review set is the best likely architectural/interior drawing package.
7683315,24-33766-RNVN,False,900 Jefferson Permit Release Set.pdf,consensus_download_queue.csv,a: Permit release set for interior coffee shop renovation likely contains architectural floor and finish sheets. || b: Permit release set for coffee shop renovation likely contains architectural floor plans and finish/equipment layout.
7803736,24-30299-RNVN,False,Plans (SWBNO approved).pdf,consensus_download_queue.csv,a: Generic approved plans file is the strongest plan-package candidate for the restaurant restoration. || b: Generic Plans PDF for restaurant restoration is the best likely plan-set candidate.
8168166,25-15024-RNVN,False,2025-05-09_Hilton Junction Cafe_BID DWGS (RCC)pdf.pdf,consensus_download_queue.csv,a: Bid drawing set for the interior cafe renovation; likely contains floor plans and finish information. || b: Bid drawings for hotel cafe renovation likely contain architectural/interior floor and finish information.
8232884,25-17248-RNVS,False,615 Baronne Street - ARC Package 1 - 2025.06.06.pdf,consensus_download_queue.csv,a: ARC package is an explicit architectural plan package for the hotel conversion. || b: ARC package is likely the architectural package for the hotel/mixed-use renovation.
8645860,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-1.pdf,consensus_download_queue.csv,a: Compiled 100 percent CD Part 1 is likely the front/architectural portion of the full drawing set. || b: Part 1 of split 100% construction documents likely includes architectural floor/finish sheets.
8645863,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-2.pdf,consensus_download_queue.csv,"a: Compiled 100 percent CD Part 2 is an early split part of the full drawing set, likely still architectural/interior. || b: Part 2 of split 100% construction documents likely includes architectural floor/finish sheets."
